Cách tính,Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2008,4005.8
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2009,3388.5
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2010,4622.3
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2011,6497.5
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2012,6739.1
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2013,7469.2
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2014,8505.7
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2015,8409
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2016,7579.6
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2017,10014.7
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2018,12105.9
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2019,11779.7
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2020,11826.8
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2021,18627.9
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2022,18194.4
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",2023,15830.5
Trị giá (Triệu đô la Mỹ),"Nguyên liệu thô, không dùng để ăn, trừ nhiên liệu",Sơ bộ 2024,16538.5
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",1995,901.6
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",1996,1238
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",1997,1194.45
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",1998,964.354
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",1999,1120.286
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2000,2121
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2001,1970.3
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2002,2165.4
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2003,2714.4
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2004,3981.8
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2005,5365.7
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2006,6699
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2007,8744.2
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2008,12329.7
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2009,7497.4
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2010,8140.3
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2011,12531.1
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2012,11452.1
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2013,10118.8
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2014,10355.7
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2015,7845
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2016,7707.1
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2017,11008.8
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2018,15343.7
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2019,15986.9
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2020,12867.5
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2021,16681.8
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2022,27719.5
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",2023,26449
Trị giá (Triệu đô la Mỹ),"Nhiêu liệu, dầu mỡ nhờn và vật liệu liên quan",Sơ bộ 2024,28589.5
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",1995,95
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",1996,48.6
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",1997,58.847
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",1998,52.852
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",1999,99.804
Trị giá (Triệu đô la Mỹ),"Dầu, mỡ, chất béo, sáp động, thực vật",2000,86.5
