Ngành kinh tế,Năm,Số dự án và tổng vốn đăng ký,Giá trị
Thông tin và truyền thông,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),281.676608539821
"Hoạt động tài chính, ngân hàng và bảo hiểm",2015,Số dự án,
"Hoạt động tài chính, ngân hàng và bảo hiểm",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1.1
"Hoạt động tài chính, ngân hàng và bảo hiểm",2016,Số dự án,12
"Hoạt động tài chính, ngân hàng và bảo hiểm",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),582.7
"Hoạt động tài chính, ngân hàng và bảo hiểm",2017,Số dự án,3
"Hoạt động tài chính, ngân hàng và bảo hiểm",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),245.772653702
"Hoạt động tài chính, ngân hàng và bảo hiểm",2018,Số dự án,5
"Hoạt động tài chính, ngân hàng và bảo hiểm",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),34.2989034266667
"Hoạt động tài chính, ngân hàng và bảo hiểm",2019,Số dự án,13
"Hoạt động tài chính, ngân hàng và bảo hiểm",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1171.93125209979
"Hoạt động tài chính, ngân hàng và bảo hiểm",2020,Số dự án,8
"Hoạt động tài chính, ngân hàng và bảo hiểm",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),287.8
"Hoạt động tài chính, ngân hàng và bảo hiểm",2021,Số dự án,1
"Hoạt động tài chính, ngân hàng và bảo hiểm",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),59.6260256
"Hoạt động tài chính, ngân hàng và bảo hiểm",2022,Số dự án,8
"Hoạt động tài chính, ngân hàng và bảo hiểm",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),84.20346011
"Hoạt động tài chính, ngân hàng và bảo hiểm",2023,Số dự án,12
"Hoạt động tài chính, ngân hàng và bảo hiểm",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1557.10481025
"Hoạt động tài chính, ngân hàng và bảo hiểm",2024,Số dự án,6
"Hoạt động tài chính, ngân hàng và bảo hiểm",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),123.59411296
Hoạt động kinh doanh bất động sản,2015,Số dự án,34
Hoạt động kinh doanh bất động sản,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2394.7
Hoạt động kinh doanh bất động sản,2016,Số dự án,62
Hoạt động kinh doanh bất động sản,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2355
Hoạt động kinh doanh bất động sản,2017,Số dự án,74
Hoạt động kinh doanh bất động sản,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),3107.532571176133
Hoạt động kinh doanh bất động sản,2018,Số dự án,95
Hoạt động kinh doanh bất động sản,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),8253.30282344576
Hoạt động kinh doanh bất động sản,2019,Số dự án,127
Hoạt động kinh doanh bất động sản,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),3860.356454598808
Hoạt động kinh doanh bất động sản,2020,Số dự án,71
Hoạt động kinh doanh bất động sản,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),4976
Hoạt động kinh doanh bất động sản,2021,Số dự án,63
Hoạt động kinh doanh bất động sản,2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),3607.174195080001
Hoạt động kinh doanh bất động sản,2022,Số dự án,79
Hoạt động kinh doanh bất động sản,2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),4533.994299800001
Hoạt động kinh doanh bất động sản,2023,Số dự án,75
Hoạt động kinh doanh bất động sản,2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),5310.456135684364
Hoạt động kinh doanh bất động sản,2024,Số dự án,81
Hoạt động kinh doanh bất động sản,2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),6309.454257112509
"Hoạt động chuyên môn, khoa học và công nghệ",2015,Số dự án,215
"Hoạt động chuyên môn, khoa học và công nghệ",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),250.1
"Hoạt động chuyên môn, khoa học và công nghệ",2016,Số dự án,285
"Hoạt động chuyên môn, khoa học và công nghệ",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),938.8
"Hoạt động chuyên môn, khoa học và công nghệ",2017,Số dự án,342
"Hoạt động chuyên môn, khoa học và công nghệ",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1155.222407924631
"Hoạt động chuyên môn, khoa học và công nghệ",2018,Số dự án,391
"Hoạt động chuyên môn, khoa học và công nghệ",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),997.0085461071956
"Hoạt động chuyên môn, khoa học và công nghệ",2019,Số dự án,518
"Hoạt động chuyên môn, khoa học và công nghệ",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1839.863807263077
"Hoạt động chuyên môn, khoa học và công nghệ",2020,Số dự án,389
"Hoạt động chuyên môn, khoa học và công nghệ",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1524.6
"Hoạt động chuyên môn, khoa học và công nghệ",2021,Số dự án,307
"Hoạt động chuyên môn, khoa học và công nghệ",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1089.036211612499
"Hoạt động chuyên môn, khoa học và công nghệ",2022,Số dự án,358
"Hoạt động chuyên môn, khoa học và công nghệ",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1486.309505145
"Hoạt động chuyên môn, khoa học và công nghệ",2023,Số dự án,414
"Hoạt động chuyên môn, khoa học và công nghệ",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1437.81618741875
"Hoạt động chuyên môn, khoa học và công nghệ",2024,Số dự án,364
"Hoạt động chuyên môn, khoa học và công nghệ",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1268.798003976264
Hoạt động hành chính và dịch vụ hỗ trợ,2015,Số dự án,25
Hoạt động hành chính và dịch vụ hỗ trợ,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),51.9
