"Khối nước, nước và vùng lãnh thổ",Năm,Giá trị
CHND Trung Hoa,1997,474.1
CHND Trung Hoa,1998,440.1
CHND Trung Hoa,1999,746.4
CHND Trung Hoa,2000,1536.4
CHND Trung Hoa,2001,1417.4
CHND Trung Hoa,2002,1518.3
CHND Trung Hoa,2003,1883.1
CHND Trung Hoa,2004,2899.1
CHND Trung Hoa,2005,3228.1
CHND Trung Hoa,2006,3242.8
CHND Trung Hoa,2007,3646.1
CHND Trung Hoa,2008,4850.1
CHND Trung Hoa,2009,5403
CHND Trung Hoa,2010,7742.9
CHND Trung Hoa,2011,11613.3
CHND Trung Hoa,2012,12836
CHND Trung Hoa,2013,13177.7
CHND Trung Hoa,2014,14928.3
CHND Trung Hoa,2015,16567.7
CHND Trung Hoa,2016,21950.4
CHND Trung Hoa,2017,35394.3
CHND Trung Hoa,2018,41365.8
CHND Trung Hoa,2019,41462.53699005
CHND Trung Hoa,2020,48906.06602888
CHND Trung Hoa,2021,55925.74872888
CHND Trung Hoa,2022,57669.40173143
CHND Trung Hoa,2023,60725.7697606
CHND Trung Hoa,Sơ bộ 2024,61371.310225
Ấn Độ,1995,10.4
Ấn Độ,1996,9.1
Ấn Độ,1997,13.2
Ấn Độ,1998,12.6
Ấn Độ,1999,17
Ấn Độ,2000,47.2
Ấn Độ,2001,45.4
Ấn Độ,2002,52
Ấn Độ,2003,32.3
Ấn Độ,2004,78.6
Ấn Độ,2005,97.8
Ấn Độ,2006,137.8
Ấn Độ,2007,179.7
Ấn Độ,2008,389
Ấn Độ,2009,419.6
Ấn Độ,2010,991.6
Ấn Độ,2011,1553.9
Ấn Độ,2012,1782.2
Ấn Độ,2013,2354.7
Ấn Độ,2014,2510.7
Ấn Độ,2015,2469.7
Ấn Độ,2016,2687.2
Ấn Độ,2017,3756.3
Ấn Độ,2018,6543.8
Ấn Độ,2019,6672.84231953
Ấn Độ,2020,5235.24482678
Ấn Độ,2021,6280.65739761
Ấn Độ,2022,7960.18400851
Ấn Độ,2023,8496.80019649
Ấn Độ,Sơ bộ 2024,9061.689729
Băng-la-đét,1995,
Băng-la-đét,1996,
Băng-la-đét,1997,
Băng-la-đét,1998,
Băng-la-đét,1999,
Băng-la-đét,2000,14.6
Băng-la-đét,2001,7.1
Băng-la-đét,2002,9.8
Băng-la-đét,2003,5.6
Băng-la-đét,2004,19.5
Băng-la-đét,2005,22.1
Băng-la-đét,2006,21.5
Băng-la-đét,2007,24.9
Băng-la-đét,2008,47.1
Băng-la-đét,2009,59.6
Băng-la-đét,2010,256.1
Băng-la-đét,2011,445.2
Băng-la-đét,2012,353
Băng-la-đét,2013,485.7
Băng-la-đét,2014,709.9
Băng-la-đét,2015,570
Băng-la-đét,2016,554.7
Băng-la-đét,2017,868.7
Băng-la-đét,2018,752.3
Băng-la-đét,2019,693.77551802
Băng-la-đét,2020,693.98473114
Băng-la-đét,2021,1273.09019721
Băng-la-đét,2022,1352.41799299
Băng-la-đét,2023,926.25944109
Băng-la-đét,Sơ bộ 2024,977.732377
Pa-ki-xtan,1995,
Pa-ki-xtan,1996,
Pa-ki-xtan,1997,
Pa-ki-xtan,1998,
Pa-ki-xtan,1999,
Pa-ki-xtan,2000,10
Pa-ki-xtan,2001,8.9
Pa-ki-xtan,2002,21.5
Pa-ki-xtan,2003,23.1
Pa-ki-xtan,2004,39.7
Pa-ki-xtan,2005,42.4
Pa-ki-xtan,2006,65.5
Pa-ki-xtan,2007,82.3
Pa-ki-xtan,2008,96
Pa-ki-xtan,2009,110.4
Pa-ki-xtan,2010,133.6
Pa-ki-xtan,2011,168.4
Pa-ki-xtan,2012,174.8
Pa-ki-xtan,2013,187.3
Pa-ki-xtan,2014,282.5
Pa-ki-xtan,2015,419.8
Pa-ki-xtan,2016,435.6
Pa-ki-xtan,2017,494.7
Pa-ki-xtan,2018,403.7
Pa-ki-xtan,2019,353.29067174
Pa-ki-xtan,2020,396.90917068
Pa-ki-xtan,2021,597.26759589
Pa-ki-xtan,2022,600.73505306
Pa-ki-xtan,2023,386.53967533
Pa-ki-xtan,Sơ bộ 2024,522.107494
Xri-lan-ka,1995,
Xri-lan-ka,1996,
Xri-lan-ka,1997,
Xri-lan-ka,1998,
Xri-lan-ka,1999,
Xri-lan-ka,2000,9.7
Xri-lan-ka,2001,9.8
Xri-lan-ka,2002,6.8
Xri-lan-ka,2003,5.8
Xri-lan-ka,2004,22.1
Xri-lan-ka,2005,20.1
Xri-lan-ka,2006,20.6
Xri-lan-ka,2007,38.2
Xri-lan-ka,2008,40
Xri-lan-ka,2009,26.4
Xri-lan-ka,2010,62
Xri-lan-ka,2011,83.6
Xri-lan-ka,2012,95.3
Xri-lan-ka,2013,130.4
Xri-lan-ka,2014,166.7
Xri-lan-ka,2015,192.4
Xri-lan-ka,2016,186.7
Xri-lan-ka,2017,224.8
Xri-lan-ka,2018,204.2
Xri-lan-ka,2019,248.81313675
Xri-lan-ka,2020,214.65175797
Xri-lan-ka,2021,350.62997364
Xri-lan-ka,2022,209.71866344
Xri-lan-ka,2023,190.84884849
Xri-lan-ka,Sơ bộ 2024,215.523637
A-rập Xê-út,1995,5.6
A-rập Xê-út,1996,5.054
A-rập Xê-út,1997,10.233
A-rập Xê-út,1998,15.949
A-rập Xê-út,1999,15.3
A-rập Xê-út,2000,14.7
A-rập Xê-út,2001,13.7
A-rập Xê-út,2002,18
A-rập Xê-út,2003,17
A-rập Xê-út,2004,21.9
A-rập Xê-út,2005,30.5
A-rập Xê-út,2006,49.3
A-rập Xê-út,2007,51.5
A-rập Xê-út,2008,118.3
A-rập Xê-út,2009,103.9
A-rập Xê-út,2010,144
A-rập Xê-út,2011,261.7
A-rập Xê-út,2012,599.1
A-rập Xê-út,2013,470.9
A-rập Xê-út,2014,534.2
A-rập Xê-út,2015,534
A-rập Xê-út,2016,394.1
A-rập Xê-út,2017,431.9
A-rập Xê-út,2018,332.5
A-rập Xê-út,2019,349.83796936
A-rập Xê-út,2020,437.88948907
A-rập Xê-út,2021,371.03428252
A-rập Xê-út,2022,718.14320052
A-rập Xê-út,2023,1130.58233241
A-rập Xê-út,Sơ bộ 2024,1610.651411
Các Tiểu vương quốc A-rập Thống nhất,1995,
Các Tiểu vương quốc A-rập Thống nhất,1996,
Các Tiểu vương quốc A-rập Thống nhất,1997,
Các Tiểu vương quốc A-rập Thống nhất,1998,
Các Tiểu vương quốc A-rập Thống nhất,1999,
Các Tiểu vương quốc A-rập Thống nhất,2000,23.8
Các Tiểu vương quốc A-rập Thống nhất,2001,33.1
Các Tiểu vương quốc A-rập Thống nhất,2002,41.2
Các Tiểu vương quốc A-rập Thống nhất,2003,66
Các Tiểu vương quốc A-rập Thống nhất,2004,93.6
Các Tiểu vương quốc A-rập Thống nhất,2005,121.6
Các Tiểu vương quốc A-rập Thống nhất,2006,140.6
Các Tiểu vương quốc A-rập Thống nhất,2007,234
Các Tiểu vương quốc A-rập Thống nhất,2008,357.6
Các Tiểu vương quốc A-rập Thống nhất,2009,360.1
Các Tiểu vương quốc A-rập Thống nhất,2010,508.3
Các Tiểu vương quốc A-rập Thống nhất,2011,922
Các Tiểu vương quốc A-rập Thống nhất,2012,2078.3
Các Tiểu vương quốc A-rập Thống nhất,2013,4138.4
Các Tiểu vương quốc A-rập Thống nhất,2014,4627
Các Tiểu vương quốc A-rập Thống nhất,2015,5690.9
Các Tiểu vương quốc A-rập Thống nhất,2016,4999.6
Các Tiểu vương quốc A-rập Thống nhất,2017,5026.9
Các Tiểu vương quốc A-rập Thống nhất,2018,5225.3
Các Tiểu vương quốc A-rập Thống nhất,2019,4784.69003947
Các Tiểu vương quốc A-rập Thống nhất,2020,3916.05323869
Các Tiểu vương quốc A-rập Thống nhất,2021,4688.33271404
Các Tiểu vương quốc A-rập Thống nhất,2022,3846.36585798
Các Tiểu vương quốc A-rập Thống nhất,2023,4010.98109769
Các Tiểu vương quốc A-rập Thống nhất,Sơ bộ 2024,5619.882633
Cô-Oét,1995,
Cô-Oét,1996,
Cô-Oét,1997,
Cô-Oét,1998,
Cô-Oét,1999,
Cô-Oét,2000,2.4
Cô-Oét,2001,2.7
Cô-Oét,2002,2.6
Cô-Oét,2003,6.9
Cô-Oét,2004,3.7
Cô-Oét,2005,11.8
Cô-Oét,2006,11.1
Cô-Oét,2007,19.3
Cô-Oét,2008,61.5
Cô-Oét,2009,40.9
Cô-Oét,2010,29.9
Cô-Oét,2011,28.9
Cô-Oét,2012,29.2
Cô-Oét,2013,35.3
Cô-Oét,2014,72.2
Cô-Oét,2015,88.2
Cô-Oét,2016,73.3
Cô-Oét,2017,62.4
Cô-Oét,2018,77.1
Cô-Oét,2019,61.65766096
Cô-Oét,2020,63.0129666
Cô-Oét,2021,60.18785665
Cô-Oét,2022,59.67845951
Cô-Oét,2023,69.56222437
Cô-Oét,Sơ bộ 2024,75.134946
I-xra-en,1995,
I-xra-en,1996,
I-xra-en,1997,
I-xra-en,1998,
I-xra-en,1999,
I-xra-en,2000,15.1
I-xra-en,2001,18.1
I-xra-en,2002,19.5
I-xra-en,2003,19.9
I-xra-en,2004,32.2
I-xra-en,2005,31.6
I-xra-en,2006,44.2
I-xra-en,2007,58.1
I-xra-en,2008,82.7
I-xra-en,2009,76.9
I-xra-en,2010,97.5
