Giá trị và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Giá trị (Triệu đô la Mỹ),Thực phẩm,1999,297.9
Giá trị (Triệu đô la Mỹ),Thực phẩm,2000,301.8
Giá trị (Triệu đô la Mỹ),Thực phẩm,2001,479.7
Giá trị (Triệu đô la Mỹ),Thực phẩm,2002,486.2
Giá trị (Triệu đô la Mỹ),Thực phẩm,2003,597.4
Giá trị (Triệu đô la Mỹ),Thực phẩm,2004,776.4
Giá trị (Triệu đô la Mỹ),Thực phẩm,2005,1100.2
Giá trị (Triệu đô la Mỹ),Thực phẩm,2006,1238.9
Giá trị (Triệu đô la Mỹ),Thực phẩm,2007,1555.2
Giá trị (Triệu đô la Mỹ),Thực phẩm,2008,2190.2
Giá trị (Triệu đô la Mỹ),Thực phẩm,2009,2085.5
Giá trị (Triệu đô la Mỹ),Thực phẩm,2010,2838.4
Giá trị (Triệu đô la Mỹ),Thực phẩm,2011,3711
Giá trị (Triệu đô la Mỹ),Thực phẩm,2012,3761.6
Giá trị (Triệu đô la Mỹ),Thực phẩm,2013,4564.8
Giá trị (Triệu đô la Mỹ),Thực phẩm,2014,5456.3
Giá trị (Triệu đô la Mỹ),Thực phẩm,2015,6295.4
Giá trị (Triệu đô la Mỹ),Thực phẩm,2016,7185.3
Giá trị (Triệu đô la Mỹ),Thực phẩm,2017,9253.8
Giá trị (Triệu đô la Mỹ),Thực phẩm,2018,9999.8
Giá trị (Triệu đô la Mỹ),Thực phẩm,2019,10844.3
Giá trị (Triệu đô la Mỹ),Thực phẩm,2020,11206.48007493012
Giá trị (Triệu đô la Mỹ),Thực phẩm,2021,15395.78350887418
Giá trị (Triệu đô la Mỹ),Thực phẩm,2022,16756.6
Giá trị (Triệu đô la Mỹ),Thực phẩm,2023,15482
Giá trị (Triệu đô la Mỹ),Thực phẩm,Sơ bộ 2024,17098.9
Giá trị (Triệu đô la Mỹ),Hàng y tế,1995,69.4
Giá trị (Triệu đô la Mỹ),Hàng y tế,1996,216.5
Giá trị (Triệu đô la Mỹ),Hàng y tế,1997,357.5
Giá trị (Triệu đô la Mỹ),Hàng y tế,1998,325
Giá trị (Triệu đô la Mỹ),Hàng y tế,1999,270.5
Giá trị (Triệu đô la Mỹ),Hàng y tế,2000,333.8
Giá trị (Triệu đô la Mỹ),Hàng y tế,2001,328.4
Giá trị (Triệu đô la Mỹ),Hàng y tế,2002,361.4
Giá trị (Triệu đô la Mỹ),Hàng y tế,2003,413.3
Giá trị (Triệu đô la Mỹ),Hàng y tế,2004,439.6
Giá trị (Triệu đô la Mỹ),Hàng y tế,2005,527.1
Giá trị (Triệu đô la Mỹ),Hàng y tế,2006,598.8
Giá trị (Triệu đô la Mỹ),Hàng y tế,2007,763.8
Giá trị (Triệu đô la Mỹ),Hàng y tế,2008,890.2
Giá trị (Triệu đô la Mỹ),Hàng y tế,2009,1158.6
Giá trị (Triệu đô la Mỹ),Hàng y tế,2010,1312
Giá trị (Triệu đô la Mỹ),Hàng y tế,2011,1589.8
Giá trị (Triệu đô la Mỹ),Hàng y tế,2012,1868.6
Giá trị (Triệu đô la Mỹ),Hàng y tế,2013,1956.9
Giá trị (Triệu đô la Mỹ),Hàng y tế,2014,2115.7
Giá trị (Triệu đô la Mỹ),Hàng y tế,2015,2378.5
Giá trị (Triệu đô la Mỹ),Hàng y tế,2016,2638.1
Giá trị (Triệu đô la Mỹ),Hàng y tế,2017,2928.9
Giá trị (Triệu đô la Mỹ),Hàng y tế,2018,2981.5
Giá trị (Triệu đô la Mỹ),Hàng y tế,2019,3255.6
Giá trị (Triệu đô la Mỹ),Hàng y tế,2020,3312.595460078675
Giá trị (Triệu đô la Mỹ),Hàng y tế,2021,4050.270336354359
Giá trị (Triệu đô la Mỹ),Hàng y tế,2022,3563.7
Giá trị (Triệu đô la Mỹ),Hàng y tế,2023,3895.3
Giá trị (Triệu đô la Mỹ),Hàng y tế,Sơ bộ 2024,4809.3
Giá trị (Triệu đô la Mỹ),Hàng khác,1995,879.3
Giá trị (Triệu đô la Mỹ),Hàng khác,1996,848
Giá trị (Triệu đô la Mỹ),Hàng khác,1997,568.3
Giá trị (Triệu đô la Mỹ),Hàng khác,1998,374.4
Giá trị (Triệu đô la Mỹ),Hàng khác,1999,423.3
Giá trị (Triệu đô la Mỹ),Hàng khác,2000,332.4
Giá trị (Triệu đô la Mỹ),Hàng khác,2001,479.3
Giá trị (Triệu đô la Mỹ),Hàng khác,2002,705.2
Giá trị (Triệu đô la Mỹ),Hàng khác,2003,956.4
Giá trị (Triệu đô la Mỹ),Hàng khác,2004,918.1
Giá trị (Triệu đô la Mỹ),Hàng khác,2005,1361.4
Giá trị (Triệu đô la Mỹ),Hàng khác,2006,1663.5
Giá trị (Triệu đô la Mỹ),Hàng khác,2007,2338.6
Giá trị (Triệu đô la Mỹ),Hàng khác,2008,3185.7
Giá trị (Triệu đô la Mỹ),Hàng khác,2009,3188
Giá trị (Triệu đô la Mỹ),Hàng khác,2010,4219.7
Giá trị (Triệu đô la Mỹ),Hàng khác,2011,4821
Giá trị (Triệu đô la Mỹ),Hàng khác,2012,4611.2
Giá trị (Triệu đô la Mỹ),Hàng khác,2013,5454.2
Giá trị (Triệu đô la Mỹ),Hàng khác,2014,5468.9
Giá trị (Triệu đô la Mỹ),Hàng khác,2015,5962.5
Giá trị (Triệu đô la Mỹ),Hàng khác,2016,6977
Giá trị (Triệu đô la Mỹ),Hàng khác,2017,7564.6
Giá trị (Triệu đô la Mỹ),Hàng khác,2018,11127.8
Giá trị (Triệu đô la Mỹ),Hàng khác,2019,13384.6
Giá trị (Triệu đô la Mỹ),Hàng khác,2020,14941.45747447697
Giá trị (Triệu đô la Mỹ),Hàng khác,2021,17300.28547639732
Giá trị (Triệu đô la Mỹ),Hàng khác,2022,19106.3
Giá trị (Triệu đô la Mỹ),Hàng khác,2023,14722.5
Giá trị (Triệu đô la Mỹ),Hàng khác,Sơ bộ 2024,18294.4
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,1995,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,1996,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,1997,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,1998,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,1999,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2000,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2001,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2002,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2003,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2004,
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2005,819.4
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2006,1878.6
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2007,1316
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2008,2728
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2009,382.3
