Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
"Dầu, mỡ, chất béo, sáp động, thực vật",2007,50.1
"Dầu, mỡ, chất béo, sáp động, thực vật",2008,101.4
"Dầu, mỡ, chất béo, sáp động, thực vật",2009,78.3
"Dầu, mỡ, chất béo, sáp động, thực vật",2010,100.2
"Dầu, mỡ, chất béo, sáp động, thực vật",2011,211.9
"Dầu, mỡ, chất béo, sáp động, thực vật",2012,316.6
"Dầu, mỡ, chất béo, sáp động, thực vật",2013,255.8
"Dầu, mỡ, chất béo, sáp động, thực vật",2014,262.9
"Dầu, mỡ, chất béo, sáp động, thực vật",2015,287.4
"Dầu, mỡ, chất béo, sáp động, thực vật",2016,167.3
"Dầu, mỡ, chất béo, sáp động, thực vật",2017,166.6
"Dầu, mỡ, chất béo, sáp động, thực vật",2018,166.7
"Dầu, mỡ, chất béo, sáp động, thực vật",2019,170.41618214
"Dầu, mỡ, chất béo, sáp động, thực vật",2020,213.1926857068214
"Dầu, mỡ, chất béo, sáp động, thực vật",2021,379.4
"Dầu, mỡ, chất béo, sáp động, thực vật",2022,698.9
"Dầu, mỡ, chất béo, sáp động, thực vật",2023,589.9
"Dầu, mỡ, chất béo, sáp động, thực vật",Sơ bộ 2024,548.1
Hàng hóa thuộc ngành công nghiệp chế tạo,1995,1784.8
Hàng hóa thuộc ngành công nghiệp chế tạo,1996,2710.5
Hàng hóa thuộc ngành công nghiệp chế tạo,1997,4401.304
Hàng hóa thuộc ngành công nghiệp chế tạo,1998,4350.137
Hàng hóa thuộc ngành công nghiệp chế tạo,1999,5540.573
Hàng hóa thuộc ngành công nghiệp chế tạo,2000,6397.5
Hàng hóa thuộc ngành công nghiệp chế tạo,2001,7019
Hàng hóa thuộc ngành công nghiệp chế tạo,2002,8414.6
Hàng hóa thuộc ngành công nghiệp chế tạo,2003,10747.8
Hàng hóa thuộc ngành công nghiệp chế tạo,2004,13927.6
Hàng hóa thuộc ngành công nghiệp chế tạo,2005,16341
Hàng hóa thuộc ngành công nghiệp chế tạo,2006,20592
Hàng hóa thuộc ngành công nghiệp chế tạo,2007,26886.1
Hàng hóa thuộc ngành công nghiệp chế tạo,2008,34625.5
Hàng hóa thuộc ngành công nghiệp chế tạo,2009,34007.6
Hàng hóa thuộc ngành công nghiệp chế tạo,2010,47012.5
Hàng hóa thuộc ngành công nghiệp chế tạo,2011,63106.1
Hàng hóa thuộc ngành công nghiệp chế tạo,2012,79241.6
Hàng hóa thuộc ngành công nghiệp chế tạo,2013,98172.4
Hàng hóa thuộc ngành công nghiệp chế tạo,2014,114472
Hàng hóa thuộc ngành công nghiệp chế tạo,2015,131710.7
Hàng hóa thuộc ngành công nghiệp chế tạo,2016,146107.3
Hàng hóa thuộc ngành công nghiệp chế tạo,2017,179064.7
Hàng hóa thuộc ngành công nghiệp chế tạo,2018,206192.9
Hàng hóa thuộc ngành công nghiệp chế tạo,2019,227374.0274558255
Hàng hóa thuộc ngành công nghiệp chế tạo,2020,247726.9367310193
Hàng hóa thuộc ngành công nghiệp chế tạo,2021,296224.8
Hàng hóa thuộc ngành công nghiệp chế tạo,2022,325832.1
Hàng hóa thuộc ngành công nghiệp chế tạo,2023,307462.2
Hàng hóa thuộc ngành công nghiệp chế tạo,Sơ bộ 2024,350344.6
Hoá chất và sản phẩm liên quan,1995,30.9
Hoá chất và sản phẩm liên quan,1996,65.9
Hoá chất và sản phẩm liên quan,1997,106.563
Hoá chất và sản phẩm liên quan,1998,93.633
Hoá chất và sản phẩm liên quan,1999,147.011
Hoá chất và sản phẩm liên quan,2000,158.5
Hoá chất và sản phẩm liên quan,2001,222.1
Hoá chất và sản phẩm liên quan,2002,262.2
Hoá chất và sản phẩm liên quan,2003,339.9
Hoá chất và sản phẩm liên quan,2004,421.3
Hoá chất và sản phẩm liên quan,2005,536
Hoá chất và sản phẩm liên quan,2006,791.9
Hoá chất và sản phẩm liên quan,2007,1028.5
Hoá chất và sản phẩm liên quan,2008,1449.9
Hoá chất và sản phẩm liên quan,2009,1270.4
Hoá chất và sản phẩm liên quan,2010,1881.9
Hoá chất và sản phẩm liên quan,2011,2875.7
Hoá chất và sản phẩm liên quan,2012,3749.5
Hoá chất và sản phẩm liên quan,2013,3831.6
Hoá chất và sản phẩm liên quan,2014,4220.4
Hoá chất và sản phẩm liên quan,2015,4098.3
Hoá chất và sản phẩm liên quan,2016,4017.9
Hoá chất và sản phẩm liên quan,2017,4687
Hoá chất và sản phẩm liên quan,2018,6081.9
Hoá chất và sản phẩm liên quan,2019,6803.769041760001
Hoá chất và sản phẩm liên quan,2020,7018.0888878458
Hoá chất và sản phẩm liên quan,2021,9704.1
Hoá chất và sản phẩm liên quan,2022,11732.2
Hoá chất và sản phẩm liên quan,2023,10174.7
Hoá chất và sản phẩm liên quan,Sơ bộ 2024,11273.3
Hàng chế biến phân loại theo nguyên liệu,1995,349.8
Hàng chế biến phân loại theo nguyên liệu,1996,382.6
Hàng chế biến phân loại theo nguyên liệu,1997,562.95
Hàng chế biến phân loại theo nguyên liệu,1998,441.09
Hàng chế biến phân loại theo nguyên liệu,1999,864.825
Hàng chế biến phân loại theo nguyên liệu,2000,911.1
Hàng chế biến phân loại theo nguyên liệu,2001,989.7
Hàng chế biến phân loại theo nguyên liệu,2002,1124.9
Hàng chế biến phân loại theo nguyên liệu,2003,1354.8
Hàng chế biến phân loại theo nguyên liệu,2004,1889.6
Hàng chế biến phân loại theo nguyên liệu,2005,2165.4
Hàng chế biến phân loại theo nguyên liệu,2006,2926.3
Hàng chế biến phân loại theo nguyên liệu,2007,3975.7
Hàng chế biến phân loại theo nguyên liệu,2008,6398.4
Hàng chế biến phân loại theo nguyên liệu,2009,5226
Hàng chế biến phân loại theo nguyên liệu,2010,8485.6
Hàng chế biến phân loại theo nguyên liệu,2011,10874.6
Hàng chế biến phân loại theo nguyên liệu,2012,12203.5
Hàng chế biến phân loại theo nguyên liệu,2013,13844.2
Hàng chế biến phân loại theo nguyên liệu,2014,16517.8
Hàng chế biến phân loại theo nguyên liệu,2015,17057.5
Hàng chế biến phân loại theo nguyên liệu,2016,17921.2
Hàng chế biến phân loại theo nguyên liệu,2017,22153.1
Hàng chế biến phân loại theo nguyên liệu,2018,27491.9
Hàng chế biến phân loại theo nguyên liệu,2019,29255.84909487859
Hàng chế biến phân loại theo nguyên liệu,2020,31539.17448794827
Hàng chế biến phân loại theo nguyên liệu,2021,45103.2
Hàng chế biến phân loại theo nguyên liệu,2022,42891.3
Hàng chế biến phân loại theo nguyên liệu,2023,40106.5
Hàng chế biến phân loại theo nguyên liệu,Sơ bộ 2024,43243
"Máy móc, phương tiện vận tảI và phụ tùng",1995,89.4
"Máy móc, phương tiện vận tảI và phụ tùng",1996,414.6
"Máy móc, phương tiện vận tảI và phụ tùng",1997,752.71
"Máy móc, phương tiện vận tảI và phụ tùng",1998,808.76
"Máy móc, phương tiện vận tảI và phụ tùng",1999,977.956
"Máy móc, phương tiện vận tảI và phụ tùng",2000,1276
"Máy móc, phương tiện vận tảI và phụ tùng",2001,1399
"Máy móc, phương tiện vận tảI và phụ tùng",2002,1336.9
