Trị giá và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2000,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2001,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2002,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2003,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2004,
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2005,5.3
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2006,7.2
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2007,16.5
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2008,360.9
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2009,822.6
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2010,36.6
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2011,62.8
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2012,86.7
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2013,76.9
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2014,9.4
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2015,4.5
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2016,5
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2017,6.4
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2018,5.8
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2019,6.79840155
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2020,6.436194593856158
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2021,7.30116037728854
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2022,11.6
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),2023,18.9
Trị giá (Triệu đô la Mỹ),Vàng phi tiền tệ(**),Sơ bộ 2024,22.7
Cơ cấu (%),TỔNG SỐ,1995,100
Cơ cấu (%),TỔNG SỐ,1996,100
Cơ cấu (%),TỔNG SỐ,1997,100
Cơ cấu (%),TỔNG SỐ,1998,100
Cơ cấu (%),TỔNG SỐ,1999,100
Cơ cấu (%),TỔNG SỐ,2000,100
Cơ cấu (%),TỔNG SỐ,2001,100
Cơ cấu (%),TỔNG SỐ,2002,100
Cơ cấu (%),TỔNG SỐ,2003,100
Cơ cấu (%),TỔNG SỐ,2004,100
Cơ cấu (%),TỔNG SỐ,2005,100
Cơ cấu (%),TỔNG SỐ,2006,100
Cơ cấu (%),TỔNG SỐ,2007,100
Cơ cấu (%),TỔNG SỐ,2008,100
Cơ cấu (%),TỔNG SỐ,2009,100
Cơ cấu (%),TỔNG SỐ,2010,100
Cơ cấu (%),TỔNG SỐ,2011,100
Cơ cấu (%),TỔNG SỐ,2012,100
Cơ cấu (%),TỔNG SỐ,2013,100
Cơ cấu (%),TỔNG SỐ,2014,100
Cơ cấu (%),TỔNG SỐ,2015,100
Cơ cấu (%),TỔNG SỐ,2016,100
Cơ cấu (%),TỔNG SỐ,2017,100
Cơ cấu (%),TỔNG SỐ,2018,100
Cơ cấu (%),TỔNG SỐ,2019,100
Cơ cấu (%),TỔNG SỐ,2020,100
Cơ cấu (%),TỔNG SỐ,2021,100
Cơ cấu (%),TỔNG SỐ,2022,100
Cơ cấu (%),TỔNG SỐ,2023,100
Cơ cấu (%),TỔNG SỐ,Sơ bộ 2024,100
Cơ cấu (%),Khu vực kinh tế trong nước,1995,73
Cơ cấu (%),Khu vực kinh tế trong nước,1996,70.3
