"Khối nước, nước và vùng lãnh thổ chủ yếu",Năm,Giá trị
Nhật Bản,2020,20369.1411932
Nhật Bản,2021,22805.92101156
Nhật Bản,2022,23406.54304969
Nhật Bản,2023,21662.95391447
Nhật Bản,Sơ bộ 2024,21622.233459
CHND Trung Hoa,1995,329.7
CHND Trung Hoa,1996,328.982
CHND Trung Hoa,1997,404.371
CHND Trung Hoa,1998,514.991
CHND Trung Hoa,1999,673.1
CHND Trung Hoa,2000,1401.1
CHND Trung Hoa,2001,1606.2
CHND Trung Hoa,2002,2158.8
CHND Trung Hoa,2003,3138.6
CHND Trung Hoa,2004,4595.1
CHND Trung Hoa,2005,5899.7
CHND Trung Hoa,2006,7391.3
CHND Trung Hoa,2007,12710
CHND Trung Hoa,2008,15973.6
CHND Trung Hoa,2009,15411.3
CHND Trung Hoa,2010,20203.6
CHND Trung Hoa,2011,24866.4
CHND Trung Hoa,2012,29035
CHND Trung Hoa,2013,36886.5
CHND Trung Hoa,2014,43647.6
CHND Trung Hoa,2015,49458.014
CHND Trung Hoa,2016,50018.80333899
CHND Trung Hoa,2017,58532.584
CHND Trung Hoa,2018,65573.225035
CHND Trung Hoa,2019,75508.20205523
CHND Trung Hoa,2020,84195.69839927
CHND Trung Hoa,2021,110075.43299487
CHND Trung Hoa,2022,117830.93278852
CHND Trung Hoa,2023,110656.42174507
CHND Trung Hoa,Sơ bộ 2024,144203.108225
Ấn Độ,1995,61.5
Ấn Độ,1996,88.447
Ấn Độ,1997,84.762
Ấn Độ,1998,108.658
Ấn Độ,1999,137.9
Ấn Độ,2000,178.4
Ấn Độ,2001,228
Ấn Độ,2002,324.7
Ấn Độ,2003,457.1
Ấn Độ,2004,593.5
Ấn Độ,2005,596
Ấn Độ,2006,880.3
Ấn Độ,2007,1357
Ấn Độ,2008,2094.3
Ấn Độ,2009,1536.1
Ấn Độ,2010,1762
Ấn Độ,2011,2346.4
Ấn Độ,2012,2160.5
Ấn Độ,2013,2879.3
Ấn Độ,2014,3111
Ấn Độ,2015,2655.163
Ấn Độ,2016,2745.5346095
Ấn Độ,2017,3954.592
Ấn Độ,2018,4149.8872609
Ấn Độ,2019,4528.28110478
Ấn Độ,2020,4436.51828814
Ấn Độ,2021,6964.34154819
Ấn Độ,2022,7103.96198423
Ấn Độ,2023,5863.0510332
Ấn Độ,Sơ bộ 2024,5832.21485
Pa-ki-xtan,1995,14.6
Pa-ki-xtan,1996,4.7
Pa-ki-xtan,1997,12.5
Pa-ki-xtan,1998,6.7
Pa-ki-xtan,1999,5.2
Pa-ki-xtan,2000,16.1
Pa-ki-xtan,2001,14.3
Pa-ki-xtan,2002,27.6
Pa-ki-xtan,2003,17.4
Pa-ki-xtan,2004,30.2
Pa-ki-xtan,2005,38.3
Pa-ki-xtan,2006,32.5
Pa-ki-xtan,2007,53.1
Pa-ki-xtan,2008,54.7
Pa-ki-xtan,2009,83.5
Pa-ki-xtan,2010,109.6
Pa-ki-xtan,2011,156
Pa-ki-xtan,2012,215.9
Pa-ki-xtan,2013,143.1
Pa-ki-xtan,2014,144.4
Pa-ki-xtan,2015,159.968
Pa-ki-xtan,2016,128.84200608
Pa-ki-xtan,2017,130.32
Pa-ki-xtan,2018,172.5815703
Pa-ki-xtan,2019,160.04707032
Pa-ki-xtan,2020,117.54908578
Pa-ki-xtan,2021,196.3495093
Pa-ki-xtan,2022,303.56162566
Pa-ki-xtan,2023,318.76522813
Pa-ki-xtan,Sơ bộ 2024,327.665821
A-rập Xê-út,1995,5.9
A-rập Xê-út,1996,24.8
A-rập Xê-út,1997,22.2
A-rập Xê-út,1998,17.1
A-rập Xê-út,1999,18
A-rập Xê-út,2000,14
A-rập Xê-út,2001,23.2
A-rập Xê-út,2002,28.8
A-rập Xê-út,2003,38.4
A-rập Xê-út,2004,65.7
A-rập Xê-út,2005,91.3
A-rập Xê-út,2006,102.3
A-rập Xê-út,2007,131.2
A-rập Xê-út,2008,173.2
A-rập Xê-út,2009,268.3
A-rập Xê-út,2010,601.5
A-rập Xê-út,2011,783.5
A-rập Xê-út,2012,886.5
A-rập Xê-út,2013,1238.8
A-rập Xê-út,2014,1336.9
A-rập Xê-út,2015,1105.81
A-rập Xê-út,2016,1165.27742074
A-rập Xê-út,2017,1308.62
A-rập Xê-út,2018,1482.4111768
A-rập Xê-út,2019,1204.74319828
A-rập Xê-út,2020,1150.91094521
A-rập Xê-út,2021,1649.20085185
A-rập Xê-út,2022,1917.28471163
A-rập Xê-út,2023,1553.58514985
A-rập Xê-út,Sơ bộ 2024,1463.613861
Các Tiểu vương quốc Ả-rập Thống nhất,1995,14.9
Các Tiểu vương quốc Ả-rập Thống nhất,1996,2.7
Các Tiểu vương quốc Ả-rập Thống nhất,1997,4.5
Các Tiểu vương quốc Ả-rập Thống nhất,1998,5.8
Các Tiểu vương quốc Ả-rập Thống nhất,1999,11.4
Các Tiểu vương quốc Ả-rập Thống nhất,2000,8.8
Các Tiểu vương quốc Ả-rập Thống nhất,2001,10.1
Các Tiểu vương quốc Ả-rập Thống nhất,2002,28.3
Các Tiểu vương quốc Ả-rập Thống nhất,2003,53.5
Các Tiểu vương quốc Ả-rập Thống nhất,2004,54
Các Tiểu vương quốc Ả-rập Thống nhất,2005,69.2
Các Tiểu vương quốc Ả-rập Thống nhất,2006,44
Các Tiểu vương quốc Ả-rập Thống nhất,2007,110.2
Các Tiểu vương quốc Ả-rập Thống nhất,2008,132.4
Các Tiểu vương quốc Ả-rập Thống nhất,2009,189.8
Các Tiểu vương quốc Ả-rập Thống nhất,2010,223.3
Các Tiểu vương quốc Ả-rập Thống nhất,2011,384.6
Các Tiểu vương quốc Ả-rập Thống nhất,2012,303.8
Các Tiểu vương quốc Ả-rập Thống nhất,2013,326.2
Các Tiểu vương quốc Ả-rập Thống nhất,2014,466.1
Các Tiểu vương quốc Ả-rập Thống nhất,2015,521.548
Các Tiểu vương quốc Ả-rập Thống nhất,2016,450.36892673
Các Tiểu vương quốc Ả-rập Thống nhất,2017,569.834
Các Tiểu vương quốc Ả-rập Thống nhất,2018,468.6001185
Các Tiểu vương quốc Ả-rập Thống nhất,2019,395.63748548
Các Tiểu vương quốc Ả-rập Thống nhất,2020,416.63112952
Các Tiểu vương quốc Ả-rập Thống nhất,2021,575.86972991
Các Tiểu vương quốc Ả-rập Thống nhất,2022,582.60004757
Các Tiểu vương quốc Ả-rập Thống nhất,2023,682.0960289
Các Tiểu vương quốc Ả-rập Thống nhất,Sơ bộ 2024,849.412582
Cô-Oét,1995,
Cô-Oét,1996,27.6
Cô-Oét,1997,84.1
Cô-Oét,1998,43.2
Cô-Oét,1999,48.6
Cô-Oét,2000,112.5
Cô-Oét,2001,45.7
Cô-Oét,2002,151.1
Cô-Oét,2003,172.5
Cô-Oét,2004,256.5
Cô-Oét,2005,358.7
Cô-Oét,2006,144.9
Cô-Oét,2007,21.8
Cô-Oét,2008,77
Cô-Oét,2009,21.2
Cô-Oét,2010,372.8
Cô-Oét,2011,807.9
Cô-Oét,2012,708.7
Cô-Oét,2013,704.8
Cô-Oét,2014,611.1
Cô-Oét,2015,130.606
Cô-Oét,2016,110.35943099
Cô-Oét,2017,287.977
Cô-Oét,2018,2603.8455212
Cô-Oét,2019,3545.4313918
Cô-Oét,2020,3168.07813971
Cô-Oét,2021,4709.95283501
Cô-Oét,2022,6562.29150836
Cô-Oét,2023,5857.0862773
Cô-Oét,Sơ bộ 2024,7252.187267
I-xra-en,1995,1.1
I-xra-en,1996,6.1
I-xra-en,1997,5.2
I-xra-en,1998,12.3
I-xra-en,1999,17.4
I-xra-en,2000,7.3
I-xra-en,2001,14.3
I-xra-en,2002,16.9
I-xra-en,2003,21.6
I-xra-en,2004,34.9
I-xra-en,2005,36.2
I-xra-en,2006,41.3
I-xra-en,2007,82.8
I-xra-en,2008,76.9
I-xra-en,2009,115.5
I-xra-en,2010,124.9
I-xra-en,2011,205.2
I-xra-en,2012,158.9
I-xra-en,2013,204.4
I-xra-en,2014,570.1
I-xra-en,2015,1161.387
I-xra-en,2016,688.26861835
I-xra-en,2017,344.962
I-xra-en,2018,420.6565445
I-xra-en,2019,381.92928408
I-xra-en,2020,893.20085876
I-xra-en,2021,1109.71393856
I-xra-en,2022,1442.21364692
I-xra-en,2023,2053.24952592
I-xra-en,Sơ bộ 2024,2452.157082
Qua-ta,1995,0.3
Qua-ta,1996,2.7
Qua-ta,1997,1.2
Qua-ta,1998,8.4
Qua-ta,1999,11.7
Qua-ta,2000,10.3
Qua-ta,2001,39.6
Qua-ta,2002,31.3
Qua-ta,2003,26.5
Qua-ta,2004,25.6
Qua-ta,2005,29
Qua-ta,2006,19.7
Qua-ta,2007,67.3
Qua-ta,2008,71.5
Qua-ta,2009,114.4
Qua-ta,2010,83.3
Qua-ta,2011,178.4
Qua-ta,2012,233.5
Qua-ta,2013,253.2
Qua-ta,2014,220.3
Qua-ta,2015,187.567
Qua-ta,2016,181.28304192
Qua-ta,2017,138.253
Qua-ta,2018,291.2545808
Qua-ta,2019,179.87653996
Qua-ta,2020,174.41738702
Qua-ta,2021,315.54408738
Qua-ta,2022,295.34433951
Qua-ta,2023,285.5776657
Qua-ta,Sơ bộ 2024,579.754766
Síp,1995,6.2
Síp,1996,1.7
Síp,1997,1.4
Síp,1998,0.7
Síp,1999,0.6
Síp,2000,4.6
Síp,2001,10.5
Síp,2002,3.2
Síp,2003,4.2
Síp,2004,8.6
Síp,2005,10.7
Síp,2006,6.9
Síp,2007,8.1
Síp,2008,15.8
Síp,2009,12.4
Síp,2010,10.7
Síp,2011,10.8
Síp,2012,11.2
Síp,2013,11.1
Síp,2014,17.7
Síp,2015,25.298
Síp,2016,35.56708436
Síp,2017,44.557
Síp,2018,49.3460344
Síp,2019,44.78655282
Síp,2020,61.31039101
Síp,2021,46.84835859
Síp,2022,45.80390641
Síp,2023,45.81680792
Síp,Sơ bộ 2024,45.472916
Thổ Nhĩ Kỳ,1995,5.8
Thổ Nhĩ Kỳ,1996,16.5
Thổ Nhĩ Kỳ,1997,36.7
Thổ Nhĩ Kỳ,1998,3
Thổ Nhĩ Kỳ,1999,4.8
Thổ Nhĩ Kỳ,2000,2
